HR1	HR2
73.38	62.11
71.97	63.74
67.81	60.63
63.27	58.86
64.85	62.98
68.8	63.27
66.48	67.99
73.58	69.09
75.87	68.13
76.66	69.13
75.66	65.89
70.69	67.44
73.12	63.01
74.59	65.98
78.24	70.56
78.84	67.72
75.05	73.17
75.26	66.62
73.92	71.38
75.2	68.23
79.39	69.58
79.16	71.77
77.71	67.58
75.98	67.65
72.66	68.04
73.17	72.46
77.14	67.95
74.23	70.85
78.22	69.39
76.66	73.57
73.62	74.18
73.82	69.29
73.82	69.38
74.79	71.38
74.07	68.99
73.79	67.12
73.07	69.91
77.08	69.38
76.39	71.04
69.34	70.1
71.09	69.23
70.64	65.26
69.11	69.67
71.98	65.26
69.57	65.68
70.46	64.95
72.66	64.05
71.48	62.94
69.72	68.37
72.14	69.96
69.77	71.09
69.96	69.82
77.35	71.18
71.09	71.04
71.57	70.05
73.07	67.23
75.25	67.48
72.36	71.13
74.95	68.78
78.24	73.68
79.59	73.58
72.12	74.75
72.56	75.47
73.27	75.46
75.15	72.16
78.14	72.41
76.45	73.58
76.39	73.32
75.79	74.84
79.11	74.38
79	73.32
74.23	73.38
73.79	77.19
75.56	69.15
75.1	72.36
75.05	71.82
72.77	72.21
74.43	71.18
72.61	69.2
80.17	71.23
72.19	73.79
73.02	73.12
73.27	72.12
73.22	70.56
77.71	72.87
71.28	63.31
74.23	68.99
73.74	72.21
75.2	69.48
73.77	70.88
73.97	69.2
75.15	71.38
73.82	72.78
72.41	70.39
71.73	72.36
75.92	68.94
71.73	69.06
69.43	69.09
70.44	68.13
70.88	65.84
71.23	68.32
71.48	69.11
71.38	69.42
70.78	69.25
76.5	68.37
77.95	69.09
67.13	70.15
69.77	68.56
70.3	68.51
70.99	69.43
71.53	64.36
69.58	65.17
71.82	67.27
72.07	66.89
67.72	65.22
68.13	64.32
68.51	64.56
71.48	65.6
67.18	69.86
68.42	67.58
68.42	65.08
74.59	67.32
70.88	67.67
72.21	63.39
72.26	64.99
69.82	65.35
71.13	67.85
65.93	69.72
67.85	68.97
67.16	64.99
65.4	65.45
66.3	66.02
69.18	65.93
68.46	69.25
66.25	70.1
66.95	70.49
67.23	67.39
67.39	66.16
67.3	69.86
65.62	71.08
69.2	69.25
70.3	68.65
69.39	69.62
71.14	68.61
71.53	66.99
68.8	67.72
69.67	68.61
70.93	69.91
69.58	69.62
70.69	69.77
71.53	70.1
71.28	69.2
71.48	65.96
70.05	68.97
72.02	69.38
72.14	69.04
71.72	67.13
71.18	66.62
70.74	65.4
70.01	69.39
70.74	68.89
71.23	66.98
70.3	66.02
69.96	68.78
70.59	70.88
71.87	72.12
70.69	69.34
70.34	68.87
69.53	69.42
70.85	69.77
70.69	70.83
72.21	71.03
71.82	71.48
71.73	67.51
71.48	66.76
70.54	67.44
70.25	69.29
70.59	68.5
71.77	68.46
70.88	71.13
71.87	67.94
70.8	70.95
70.3	69.96
71.87	70.39
70.98	68.56
70.44	67.62
70.15	71.13
71.03	67.76
71.23	67.62
70.34	71.72
71.53	66.81
70.83	68.23
70.1	68.94
70.34	69.96
70.54	66.8
70.39	66.9
70.54	70.54
71.43	68.61
72.51	66.62
71.92	69.23
71.18	68.59
71.19	69.28
70.2	68.04
69.96	70.54
70.83	72.21
70.85	71.53
72.26	71.03
71.72	70.15
70.99	70.05
70.64	72.12
69.86	71.53
70.98	71.53
70.95	69.39
70.69	70.98
72.41	73.07
71.93	71.53
71.88	72.92
71.83	75.25
71.68	72.49
71.88	72.16
73.07	72.41
73.32	70.34
78.08	69.25
73.43	67.95
74.95	73.27
76.55	72.77
70.78	69.82
71.98	70.1
74.23	69.58
74.79	69.09
71.38	68.46
74.12	70.56
75.87	69.33
73.77	70.74
71.38	71.58
72.56	66.71
68.89	66.62
72.56	70.36
73.87	68.04
71.38	67.51
70.05	69.25
70.64	69.33
72.36	71.28
73.37	69.53
73.17	72.44
73.52	70.99
71.67	71.82
71.33	70.26
70.83	70.2
72.02	69.04
71.87	68.42
71.23	69.67
70.44	67.21
69.34	70.01
69.96	71.53
70.01	70.47
70.39	68.7
71.97	69.53
71.43	68.04
69.86	69.34
69.62	70.54
70.74	71.43
71.23	69.13
71.92	69.2
71.48	70.15
71.28	65.93
70.64	66.76
69.96	70.59
70.69	69.82
70.39	71.28
71.72	71.82
70.11	71.08
70.01	70.47
70.95	69.13
70.59	67.9
72.36	67.95
71.73	66.44
71.18	68.85
70.26	70.85
69.62	68.13
70.98	65.66
71.14	64.49
70.64	67.9
68.56	65.44
70.49	63.47
68.7	66.44
66.9	70.25
70.3	71.62
67.99	67.53
67.26	66.76
67.03	60.92
68.27	66.62
70.44	69.77
70.2	67.58
69.82	63.6
68.92	66.19
69.77	69.39
69.77	67.58
69.62	65.93
68.75	62.76
69.01	64.94
68.32	70.38
69.48	70.3
70.49	69.42
70.25	69.15
69.82	67.99
69.77	66.02
69.52	67.58
70.25	67.9
71.19	66.98
70.3	69.96
69.25	69.23
70.31	63.14
71.82	66.76
69.92	70.49
70.01	70.2
70.16	70.71
69.52	68.61
70.93	68.8
70.44	69.72
70.59	67.99
70.15	69.62
71.14	70.64
69.92	71.08
69.48	69.39
70.16	67.39
70.01	68.51
71.08	69.72
71.43	68.89
70.44	65.44
70.01	63.92
69.18	66.3
68.42	69.11
69.62	67.94
70.01	65.71
69.2	66.67
70.54	65.31
69.06	66.62
69.82	67.39
69.25	66.02
69.2	64.94
67.58	65.89
69.72	64.58
68.7	65.17
69.86	70.49
68.89	70.78
68.46	68.85
68.51	69.39
68.32	66.67
69.38	65.93
68.99	68.41
69.96	62.03
70.41	65.17
69.58	67.81
70.74	70.06
70.54	72.97
71.43	68.41
69.28	70.39
69.86	67.03
69.96	69.13
70.85	66.98
68.87	69.23
70.3	69.33
70.78	70.1
67.48	68.41
71.38	68.51
70.39	70.61
75.1	71.38
75.25	70.99
73.17	68.64
73.07	68.51
70.78	69.13
71.53	64.99
71.28	65.13
70.69	69.23
73.77	66.3
75.66	67.62
73.97	68.72
74.18	68.61
68.92	68.83
71.43	68.51
68.23	70.05
69.58	67.48
72.97	70.34
